Estado;Bacia;Nome Poço;Operador;Campo;Operador;Número do Contrato;Período;Óleo (bbl/dia);Condensado (bbl/dia);Petróleo (bbl/dia);Tempo de Produção (hs por mês)
Rio Grande do Norte;Potiguar;7-ET-1657-RN;7ET1657RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1646-RN;7ET1646RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1677-RN;7ET1677RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,7386;0;0,7386;505
Rio Grande do Norte;Potiguar;7-ET-1681D-RN;7ET1681DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0,8313;0;0,8313;720
Rio Grande do Norte;Potiguar;7-ET-1669D-RN;7ET1669DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0,5101;0;0,5101;720
Rio Grande do Norte;Potiguar;7-ET-1692D-RN;7ET1692DRN;ESTREITO;Petrobras;4,8E+14;2020/11;3,0627;0;3,0627;720
Rio Grande do Norte;Potiguar;7-ET-1688-RN;7ET1688RN;ESTREITO;Petrobras;4,8E+14;2020/11;0,6434;0;0,6434;136
Rio Grande do Norte;Potiguar;7-ET-1664-RN;7ET1664RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,021;0;1,021;720
Rio Grande do Norte;Potiguar;7-ET-1643-RN;7ET1643RN;ESTREITO;Petrobras;4,8E+14;2020/11;2,5002;0;2,5002;720
Rio Grande do Norte;Potiguar;7-RP-95-RN;7RP  0095  RN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1645D-RN;7ET1645DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0;0;0;0
Rio Grande do Norte;Potiguar;7-ET-1650-RN;7ET1650RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,5314;0;1,5314;720
Rio Grande do Norte;Potiguar;7-ET-1675-RN;7ET1675RN;ESTREITO;Petrobras;4,8E+14;2020/11;4,5127;0;4,5127;519
Rio Grande do Norte;Potiguar;7-ET-1637D-RN;7ET1637DRN;ESTREITO;Petrobras;4,8E+14;2020/11;0,6281;0;0,6281;159
Rio Grande do Norte;Potiguar;7-ET-1655-RN;7ET1655RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,4659;0;1,4659;689
Rio Grande do Norte;Potiguar;7-ET-1674-RN;7ET1674RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,0288;0;1,0288;720
Rio Grande do Norte;Potiguar;7-ET-1685-RN;7ET1685RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,021;0;1,021;720
Rio Grande do Norte;Potiguar;7-ET-1691D-RN;7ET1691DRN;ESTREITO;Petrobras;4,8E+14;2020/11;5,6149;0;5,6149;720
Rio Grande do Norte;Potiguar;7-ET-1537-RN;7ET1537RN;ESTREITO;Petrobras;4,8E+14;2020/11;3,5732;0;3,5732;720
Rio Grande do Norte;Potiguar;7-ET-1687-RN;7ET1687RN;ESTREITO;Petrobras;4,8E+14;2020/11;1,3165;0;1,3165;585
